Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26007192,山寨版的上帝,提摩太．凱勒,"提摩太．凱勒, 提摩太．凱勒",,"=""""","=""""",0,4.36,希望之聲文化有限公司,Hardcover,285,2013,2009,,2025/07/27,to-read,to-read (#28),to-read,,,,0,0
54444309,工作的意义 (Chinese Edition),提摩太·凯勒,"提摩太·凯勒, 提摩太·凯勒",潘乔，李怡棉,"=""""","=""""",0,4.60,上海三联书店,Kindle Edition,292,2016,,,2025/07/27,to-read,to-read (#27),to-read,,,,0,0
42767746,婚姻的意义,Timothy J. Keller,"Keller, Timothy J.","Kathy    Keller, 提摩太·凯勒, 凯西·凯勒, 杨基","=""""","=""""",0,4.49,上海三联书店,Paperback,287,2015,2011,,2025/07/27,to-read,to-read (#26),to-read,,,,0,0
17174373,云图,David Mitchell,"Mitchell, David","大卫·米切尔, 杨春雷","=""7532136922""","=""9787532136926""",0,4.01,上海文艺出版社,Paperback,486,2010,2004,,2025/07/27,to-read,to-read (#25),to-read,,,,0,0
36160370,美丽新世界,Aldous Huxley,"Huxley, Aldous",陈超,"=""""","=""""",0,4.00,上海译文出版社,Kindle Edition,287,2017,1932,2025/07/24,2025/06/18,,,read,,,,1,0
168675287,汉译世界学术名著丛书：家庭论,[美]加里·斯坦利·贝克尔,"[美]加里·斯坦利·贝克尔, [美]加里·斯坦利·贝克尔",,"=""""","=""""",0,0.0,商务印书馆,Paperback,0,1998,,,2025/07/24,to-read,to-read (#24),to-read,,,,0,0
53263624,创造进化论,Henri Bergson,"Bergson, Henri","亨利·柏格森, 刘霞","=""""","=""9787201150475""",0,4.10,天津人民出版社,Kindle Edition,244,2019,1907,,2025/07/24,to-read,to-read (#23),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,3.91,Penguin Books,Paperback,1023,2003,1615,,2025/07/23,to-read,to-read (#22),to-read,,,,0,0
43491623,查第格,Voltaire,"Voltaire, Voltaire","傅雷, 伏尔泰","=""""","=""9787532775415""",0,3.69,上海人民出版社（北京世纪文景）,Paperback,,2017,1747,2025/07/15,2025/06/17,,,read,,,,1,0
80493508,挪威的森林,村上春树 林少华,"林少华, 村上春树",,"=""""","=""""",0,3.99,上海译文出版社,Paperback,200,2014,1987,,2025/07/15,to-read,to-read (#21),to-read,,,,0,0
19380,Candide,Voltaire,"Voltaire, Voltaire","Rockwell Kent, Walter Jerrold, Don Hagen, Sara Gioacchino Corcos","=""0486266893""","=""9780486266893""",0,3.76,"Dover Publications, Incorporated",Paperback,129,1991,1759,2025/07/15,2025/07/13,,,read,,,,1,0
60470571,Nonverts: The Making of Ex-Christian America,Stephen Bullivant,"Bullivant, Stephen",,"=""0197587445""","=""9780197587447""",0,3.85,Oxford University Press,Hardcover,257,2022,2022,,2025/07/14,to-read,to-read (#20),to-read,,,,0,0
63354300,"The Great Dechurching: Who’s Leaving, Why Are They Going, and What Will It Take to Bring Them Back?",Jim  Davis,"Davis, Jim","Michael Graham, Ryan P. Burge","=""0310147433""","=""9780310147435""",0,3.85,Zondervan,Hardcover,272,2023,,2025/07/14,2025/06/05,,,read,,,,1,0
38135623,天真汉 (伏尔泰作品集) (Chinese Edition),Voltaire,"Voltaire, Voltaire",,"=""""","=""""",0,3.52,上海译文出版社,Kindle Edition,182,2017,1767,2025/07/12,2025/06/17,,,read,,,,1,0
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0679723056""","=""9780679723059""",0,4.02,Vintage Books,Paperback,159,1989,1981,2025/07/12,2025/07/03,,,read,,,,1,0
16241133,The History of the Renaissance World: From the Rediscovery of Aristotle to the Conquest of Constantinople,Susan Wise Bauer,"Bauer, Susan Wise",,"=""0393059766""","=""9780393059762""",0,4.17,W. W. Norton & Company,Hardcover,785,2013,2013,,2025/07/09,to-read,to-read (#19),to-read,,,,0,0
225947,The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,Susan Wise Bauer,"Bauer, Susan Wise",,"=""039305974X""","=""9780393059748""",0,4.11,W. W. Norton & Company ,Hardcover,896,2007,2007,,2025/07/08,currently-reading,currently-reading (#3),currently-reading,,,,1,0
48917953,鼠疫,Albert Camus,"Camus, Albert","阿爾貝．卡繆, 顏湘如","=""""","=""""",0,4.02,麥田,Kindle Edition,235,2012,1947,2025/07/08,2025/07/02,,,read,,,,1,0
6484128,The History of the Medieval World: From the Conversion of Constantine to the First Crusade,Susan Wise Bauer,"Bauer, Susan Wise",,"=""0393059758""","=""9780393059755""",0,4.11,W. W. Norton & Company,Hardcover,746,2010,2010,,2025/07/08,to-read,to-read (#18),to-read,,,,0,0
18250837,How (Not) to Be Secular: Reading Charles Taylor,James K.A. Smith,"Smith, James K.A.",,"=""0802867618""","=""9780802867612""",0,4.21,Eerdmans,Paperback,148,2014,2014,,2025/07/08,to-read,to-read (#17),to-read,,,,0,0
824412,A Secular Age,Charles Margrave Taylor,"Taylor, Charles Margrave",,"=""0674026764""","=""9780674026766""",0,4.27,Belknap,Hardcover,874,2007,2007,,2025/07/08,to-read,to-read (#16),to-read,,,,0,0
55385983,"Speechless: Controlling Words, Controlling Minds",Michael J. Knowles,"Knowles, Michael J.",,"=""168451116X""","=""9781684511167""",0,4.25,Regnery,Kindle Edition,383,2021,2021,,2025/07/07,to-read,to-read (#15),to-read,,,,0,0
61369370,The College Scam: How America's Universities Are Bankrupting and Brainwashing Away the Future of America's Youth,Charlie Kirk,"Kirk, Charlie",,"=""1735503738""","=""9781735503738""",0,4.16, Winning Team Publishing,Hardcover,288,2022,2022,,2025/07/07,to-read,to-read (#14),to-read,,,,0,0
36651676,局外人,Albert Camus,"Camus, Albert","阿尔贝·加缪, 柳鸣九","=""""","=""""",0,4.03,上海译文出版社,Kindle Edition,66,2013,1942,,2025/06/09,,,read,,,,1,0
57846996,"Red Roulette: An Insider's Story of Wealth, Power, Corruption, and Vengeance in Today's China",Desmond Shum,"Shum, Desmond",Tim Chiou,"=""1398510394""","=""9781398510395""",0,3.91,Simon & Schuster Audio UK,Audiobook,,2021,2021,2025/07/01,2025/06/08,,,read,,,,1,0
28137375,Pride and Predujice,Jane Austen,"Austen, Jane",,"=""1519674589""","=""9781519674586""",0,4.29,CreateSpace Independent Publishing Platform,Paperback,234,2015,1813,,2025/06/30,to-read,to-read (#13),to-read,,,,0,0
18922517,Le Rouge et le noir (红与黑 ) (免费公版书),Stendhal,"Stendhal, Stendhal",,"=""""","=""""",0,3.86,免费公版书,Kindle Edition,512,2011,1830,,2025/06/30,to-read,to-read (#12),to-read,,,,0,0
19179596,罪与罚,Fyodor Dostoevsky,"Dostoevsky, Fyodor",岳麟,"=""""","=""""",0,4.28,上海译文出版社,Kindle Edition,548,2011,1866,,2025/06/30,to-read,to-read (#11),to-read,,,,0,0
19230853,战争与和平,Leo Tolstoy,"Tolstoy, Leo",,"=""7806574581""","=""9787806574584""",0,4.17,译林出版社,Kindle Edition,726,2011,1869,,2025/06/30,to-read,to-read (#10),to-read,,,,0,0
203774224,法律的悖论,罗翔,"罗翔, 罗翔",,"=""7222221832""","=""9787222221833""",0,3.95,云南人民出版社,Paperback,254,2023,2023,2025/06/23,2025/05/18,,,read,,,,1,0
17259893,小王子,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",圣埃克苏佩里,"=""""","=""""",0,4.33,,Paperback,112,2010,1943,2025/06/23,2025/06/09,,,read,,,,1,0
27788,"Julie, or the New Heloise",Jean-Jacques Rousseau,"Rousseau, Jean-Jacques","Philip Stewart, Jean Vache","=""0874518253""","=""9780874518252""",0,3.44,Dartmouth College Press,Paperback,728,1997,1760,,2025/06/20,to-read,to-read (#9),to-read,,,,0,0
12649,Confessions,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques","Angela Scholar, Patrick Coleman","=""0192822756""","=""9780192822758""",0,3.59,Oxford University Press,Paperback,676,2000,1773,,2025/06/20,to-read,to-read (#8),to-read,,,,0,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,"=""0465081452""","=""9780465081455""",0,4.37,Basic Books,Hardcover,448,2003,2000,,2025/05/12,currently-reading,currently-reading (#2),currently-reading,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2025/06/11,to-read,to-read (#7),to-read,,,,0,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,4.20,Plume,Paperback,368,2022,1949,,2025/06/11,to-read,to-read (#6),to-read,,,,0,0
27840555,No God but One: Allah or Jesus?: A Former Muslim Investigates the Evidence for Islam and Christianity,Nabeel Qureshi,"Qureshi, Nabeel",,"=""0310522552""","=""9780310522553""",0,4.61,Zondervan,Paperback,320,2016,2016,2025/05/29,2025/05/23,,,read,,,,1,0
152344,Victory Over the Darkness,Neil T. Anderson,"Anderson, Neil T.",,"=""0830725644""","=""9780830725649""",0,4.21,GLP,Paperback,256,1991,1990,2025/05/28,2025/05/23,,,read,,,,1,0
52104820,圆圈正义：作为自由前提的信念,LUO XIANG,"XIANG, LUO",,"=""752160377X""","=""9787521603774""",0,4.05,中国法制出版社,Paperback,307,2019,,2025/05/26,2025/05/04,,,read,,,,1,0
41889692,当呼吸化为空气,Paul Kalanithi,"Kalanithi, Paul",,"=""""","=""""",0,4.41,浙江文艺出版社,Kindle Edition,148,2016,2016,,2025/05/04,,,read,,,,1,0
23336950,A Pearl Necklace,Mi Xue,"Xue, Mi",,"=""0578149583""","=""9780578149585""",0,4.24,"Layman's Foundation, Inc.",Hardcover,288,2014,2014,2025/05/13,2025/05/04,,,read,,,,1,0
52884924,走到比錢更遠的地方,陳維恩,"陳維恩, 陳維恩",,"=""9869716814""","=""9789869716819""",0,5.00,格子外面,Paperback,254,2019,,,2025/05/04,,,read,,,,1,0
38819247,Food and Nutrition: What Everyone Needs to Know®,P.K. Newby,"Newby, P.K.",,"=""0190846631""","=""9780190846633""",0,3.89,Oxford University Press,Paperback,316,2018,,,2025/05/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
211854307,康熙的红票：全球化中的清朝,Litian Swen,"Swen, Litian",孙立天,"=""7100234247""","=""9787100234245""",0,4.56,商务印书馆,Hardcover,400,2024,,,2025/05/04,,,read,,,,1,0
210594797,A Pearl Necklace《珍珠项链》中文简体,雪 米,"米, 雪",,"=""""","=""""",0,5.00,,Kindle Edition,191,2023,,,2025/05/04,,,read,,,,1,0
32899495,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,"Géron, Aurélien",,"=""""","=""""",0,4.55,O'Reilly Media,ebook,450,2017,2017,,2022/10/05,to-read,to-read (#5),to-read,,,,0,0
38606117,Java编程的逻辑 (Java核心技术系列) (Chinese Edition),马俊昌,"马俊昌, 马俊昌",,"=""""","=""""",0,4.00,机械工业出版社,Kindle Edition,1308,2018,,,2021/09/27,to-read,to-read (#4),to-read,,,,0,0
52935138,The Secret Life of Programs: Understand Computers -- Craft Better Code,Jon Steinhart,"Steinhart, Jon",,"=""""","=""""",0,3.86,No Starch Press,Kindle Edition,504,2019,,,2021/04/29,to-read,to-read (#3),to-read,,,,0,0
52555533,Algorithmic Thinking: A Problem-Based Introduction,Daniel Zingaro,"Zingaro, Daniel",,"=""1718500807""","=""9781718500808""",0,4.45,No Starch Press,Paperback,408,2020,,,2021/04/29,to-read,to-read (#2),to-read,,,,0,0
13590009,Think Like a Programmer: An Introduction to Creative Problem Solving,V. Anton Spraul,"Spraul, V. Anton",,"=""1593274246""","=""9781593274245""",0,3.85,No Starch Press,Paperback,233,2012,2012,,2021/04/29,to-read,to-read (#1),to-read,,,,0,0
