Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54861804,如何假装懂音乐（“坏蛋调频”带你快速了解蓝调、乡村、民谣、摇滚、朋克、嘻哈、重金属、工业音乐、迷幻舞曲……） (Chinese Edition),王硕,"王硕, 王硕",储智勇,"=""""","=""""",0,北京联合出版公司,Kindle Edition,190,2019,,2025/11/07,2025/08/15,,,read,,,,1,0
1000751,"Pollyanna (Pollyanna, #1)",Eleanor H. Porter,"Porter, Eleanor H.",,"=""0689849109""","=""9780689849107""",0,Aladdin,Paperback,304,2002,1913,2025/11/04,2025/08/08,,,read,,,,1,0
13589149,Every Good Endeavor: Connecting Your Work to God's Plan for the World,Timothy J. Keller,"Keller, Timothy J.",Katherine Leary Alsdorf,"=""0525952705""","=""9780525952701""",0,Viking,Hardcover,288,2012,2012,2025/11/02,2025/08/08,,,read,,,,1,0
19179596,罪与罚,Fyodor Dostoevsky,"Dostoevsky, Fyodor",岳麟,"=""""","=""""",0,上海译文出版社,Kindle Edition,548,2011,1866,2025/10/30,2025/06/30,,,read,,,,1,0
61369370,The College Scam: How America's Universities Are Bankrupting and Brainwashing Away the Future of America's Youth,Charlie Kirk,"Kirk, Charlie",,"=""1735503738""","=""9781735503738""",0, Winning Team Publishing,Hardcover,288,2022,2022,2025/10/27,2025/07/07,,,read,,,,1,0
12649,Confessions,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques","Angela Scholar, Patrick Coleman","=""0192822756""","=""9780192822758""",0,Oxford University Press,Paperback,676,2000,1773,2025/10/21,2025/06/20,,,read,,,,1,0
42767746,婚姻的意义,Timothy J. Keller,"Keller, Timothy J.","Kathy    Keller, 提摩太·凯勒, 凯西·凯勒, 杨基","=""""","=""""",0,上海三联书店,Paperback,287,2015,2011,2025/10/20,2025/07/27,,,read,,,,1,0
16241133,The History of the Renaissance World: From the Rediscovery of Aristotle to the Conquest of Constantinople,Susan Wise Bauer,"Bauer, Susan Wise",,"=""0393059766""","=""9780393059762""",0,W. W. Norton & Company,Hardcover,785,2013,2013,2025/10/12,2025/07/09,,,read,,,,1,0
54383459,哲学的故事,Will Durant,"Durant, Will","威尔·杜兰特, 蒋剑峰, 张程程","=""""","=""""",0,新星出版社,Kindle Edition,608,2013,1926,2025/07/30,2025/05/28,,,read,,,,1,0
17174373,云图,David  Mitchell,"Mitchell, David","大卫·米切尔, 杨春雷","=""7532136922""","=""9787532136926""",0,上海文艺出版社,Paperback,486,2010,2004,2025/10/02,2025/07/27,,,read,,,,1,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",0,Vintage,Paperback,746,1989,1949,,2025/10/02,to-read,to-read (#8),to-read,,,,0,0
